order_id,customer_id,revenue,order_date,status
O1001,C001,120.50,2024-01-01,completed
O1002,C002,89.99,2024-01-01,completed
O1003,C001,45.00,2024-01-02,completed
O1004,C003,250.00,2024-01-02,cancelled
O1005,C004,15.75,2024-01-03,completed
O1006,C002,60.00,2024-01-03,completed
O1007,C005,300.00,2024-01-04,completed
O1008,C005,300.00,2024-01-04,completed
O1009,C006,-20.00,2024-01-05,refunded
O1010,C007,99.00,2024-01-05,completed
O1011,C003,150.25,2024-01-06,completed
O1012,C008,40.00,2024-01-06,cancelled
O1013,C001,75.00,2024-01-07,completed
O1014,C009,500.00,2024-01-07,completed
O1015,C010,,2024-01-08,completed
